0.085 0.081 0.168 0.033 0.036 0.081 0.042 0.056 0.157 0.163 0.215 0.18 0.144 0.155 0.136 0.174 15.0 14.0 6.666666666666667 1.4285714285714286 18.523809523809522 0.4175824175824176 
0.081 0.076 0.186 0.033 0.025 0.069 0.031 0.036 0.143 0.154 0.23 0.18 0.12 0.134 0.122 0.141 16.0 15.0 6.0625 1.5333333333333334 22.995833333333334 0.6952380952380952 
0.044 0.045 0.045 0.017 0.033 0.04 0.026 0.034 0.151 0.152 0.124 0.128 0.131 0.137 0.106 0.127 13.0 12.0 7.769230769230769 1.5833333333333333 32.85897435897436 0.8106060606060606 
0.047 0.048 0.044 0.017 0.035 0.044 0.027 0.041 0.151 0.153 0.125 0.128 0.13 0.137 0.106 0.129 11.0 10.0 9.363636363636363 1.7 114.05454545454545 0.9 
0.047 0.049 0.044 0.025 0.035 0.044 0.027 0.04 0.151 0.152 0.125 0.156 0.13 0.137 0.106 0.129 10.0 9.0 10.6 1.5555555555555556 209.37777777777777 0.7777777777777778 
0.048 0.05 0.045 0.017 0.036 0.045 0.027 0.046 0.151 0.152 0.125 0.128 0.13 0.137 0.106 0.132 8.0 7.0 13.625 1.5714285714285714 251.125 0.9523809523809523 
0.049 0.05 0.046 0.017 0.036 0.046 0.026 0.047 0.151 0.152 0.125 0.128 0.13 0.137 0.106 0.132 8.0 7.0 13.625 1.5714285714285714 269.4107142857143 0.9523809523809523 
0.049 0.051 0.046 0.025 0.037 0.046 0.026 0.047 0.151 0.152 0.125 0.156 0.13 0.137 0.106 0.132 7.0 6.0 16.142857142857142 1.1666666666666667 268.80952380952385 0.16666666666666666 
0.046 0.054 0.175 0.025 0.098 0.039 0.019 0.076 0.101 0.105 0.231 0.156 0.166 0.098 0.116 0.192 6.0 5.0 19.0 1.2 106.0 0.2 
0.194 0.177 0.16 0.033 0.135 0.155 0.0 0.045 0.206 0.202 0.221 0.18 0.187 0.217 0.0 0.16 9.0 8.0 12.11111111111111 1.375 84.86111111111111 0.26785714285714285 
0.192 0.172 0.164 0.025 0.084 0.151 0.017 0.048 0.215 0.21 0.227 0.156 0.141 0.224 0.128 0.156 10.0 9.0 10.8 1.3333333333333333 68.4 0.25 
0.176 0.156 0.133 0.017 0.067 0.121 0.017 0.055 0.197 0.196 0.195 0.128 0.131 0.187 0.128 0.161 12.0 11.0 8.75 1.3636363636363635 53.11363636363637 0.2545454545454546 
0.163 0.144 0.124 0.017 0.054 0.114 0.017 0.055 0.198 0.197 0.185 0.128 0.126 0.188 0.128 0.165 13.0 12.0 8.0 1.3333333333333333 57.0 0.24242424242424243 
0.159 0.137 0.129 0.017 0.043 0.116 0.017 0.055 0.202 0.199 0.188 0.128 0.123 0.189 0.111 0.164 14.0 13.0 7.142857142857143 1.5384615384615385 37.20879120879121 1.2692307692307694 
0.147 0.105 0.128 0.025 0.028 0.091 0.025 0.046 0.192 0.165 0.195 0.156 0.107 0.163 0.142 0.153 16.0 15.0 6.0625 1.5333333333333334 27.6625 1.123809523809524 
0.145 0.102 0.134 0.017 0.027 0.089 0.033 0.046 0.192 0.166 0.192 0.128 0.107 0.163 0.167 0.153 16.0 15.0 6.1875 1.4 26.5625 1.1142857142857143 
0.132 0.09 0.135 0.025 0.047 0.083 0.033 0.038 0.181 0.154 0.191 0.156 0.154 0.157 0.18 0.135 19.0 19.0 4.947368421052632 1.368421052631579 24.719298245614038 0.912280701754386 
0.12 0.102 0.183 0.025 0.049 0.088 0.042 0.022 0.169 0.177 0.246 0.156 0.174 0.174 0.2 0.11 18.0 18.0 5.277777777777778 1.3888888888888888 23.741830065359476 0.957516339869281 
0.132 0.114 0.19 0.025 0.056 0.099 0.058 0.058 0.183 0.191 0.249 0.156 0.182 0.18 0.234 0.225 17.0 17.0 5.529411764705882 1.5294117647058822 22.264705882352942 1.1397058823529411 
0.132 0.115 0.19 0.017 0.047 0.1 0.058 0.058 0.178 0.189 0.241 0.128 0.167 0.179 0.234 0.234 18.0 17.0 5.277777777777778 1.4705882352941178 17.50653594771242 0.5147058823529412 
0.142 0.121 0.174 0.017 0.058 0.113 0.058 0.062 0.191 0.206 0.218 0.128 0.206 0.209 0.225 0.238 20.0 19.0 4.65 1.4210526315789473 12.660526315789474 0.4795321637426901 
0.139 0.12 0.168 0.017 0.054 0.11 0.05 0.054 0.188 0.201 0.219 0.128 0.202 0.208 0.208 0.222 18.0 18.0 5.166666666666667 1.5 23.911764705882348 0.5 
0.143 0.124 0.146 0.008 0.05 0.111 0.05 0.054 0.18 0.193 0.192 0.091 0.187 0.2 0.208 0.222 15.0 14.0 6.466666666666667 1.6428571428571428 22.98095238095238 0.554945054945055 
0.146 0.118 0.138 0.008 0.042 0.098 0.05 0.031 0.192 0.193 0.186 0.091 0.166 0.186 0.208 0.135 18.0 17.0 5.111111111111111 1.6470588235294117 22.57516339869281 0.49264705882352944 
0.016 0.016 0.143 0.025 0.011 0.089 0.033 0.023 0.092 0.093 0.193 0.156 0.093 0.174 0.167 0.121 17.0 17.0 5.411764705882353 1.6470588235294117 22.50735294117647 0.49264705882352944 
0.018 0.018 0.154 0.04 0.013 0.086 0.03 0.022 0.101 0.101 0.205 0.195 0.101 0.179 0.154 0.122 14.0 14.0 5.642857142857143 1.5714285714285714 28.093406593406595 0.4175824175824176 
0.021 0.021 0.169 0.037 0.016 0.086 0.025 0.019 0.112 0.113 0.217 0.189 0.113 0.172 0.155 0.123 11.0 10.0 5.818181818181818 1.7 20.563636363636363 0.45555555555555555 
0.027 0.026 0.169 0.049 0.022 0.093 0.033 0.025 0.129 0.129 0.223 0.216 0.129 0.185 0.178 0.141 9.0 8.0 5.222222222222222 1.75 21.194444444444446 0.5 
0.036 0.036 0.205 0.073 0.032 0.089 0.024 0.024 0.156 0.157 0.274 0.26 0.157 0.19 0.154 0.154 6.0 6.0 5.0 1.8333333333333333 31.2 0.5666666666666667 
