0.937 0.117 0.192 0.0 0.043 0.262 0.001 0.002 0.017 0.899 0.219 0.222 0.0 0.047 0.302 0.002 0.002 0.004 0.0 1.0 58.5 0.5 6844.5 0.5 
0.936 0.123 0.187 0.0 0.039 0.267 0.001 0.002 0.019 0.899 0.224 0.217 0.0 0.045 0.303 0.002 0.002 0.004 0.0 0.0 120.0 0.0 0.0 0.0 
0.931 0.12 0.19 0.0 0.019 0.285 0.001 0.002 0.021 0.899 0.23 0.21 0.0 0.023 0.305 0.001 0.002 0.004 0.0 0.0 120.0 0.0 0.0 0.0 
0.93 0.139 0.175 0.0 0.019 0.289 0.001 0.003 0.024 0.897 0.244 0.198 0.0 0.023 0.309 0.001 0.002 0.004 0.0 0.0 120.0 0.0 0.0 0.0 
0.928 0.158 0.161 0.0 0.017 0.294 0.001 0.003 0.027 0.895 0.258 0.184 0.0 0.02 0.312 0.001 0.002 0.004 0.0 0.0 120.0 0.0 0.0 0.0 
0.923 0.177 0.149 0.0 0.008 0.306 0.001 0.004 0.039 0.891 0.278 0.164 0.0 0.004 0.32 0.001 0.002 0.004 0.0 0.0 120.0 0.0 0.0 0.0 
0.93 0.169 0.166 0.0 0.045 0.264 0.004 0.008 0.084 0.918 0.056 0.275 0.0 0.057 0.274 0.005 0.004 0.01 0.0 0.0 120.0 0.0 0.0 0.0 
0.925 0.282 0.063 0.0 0.195 0.13 0.005 0.006 0.071 0.898 0.269 0.15 0.0 0.275 0.15 0.011 0.006 0.02 0.0 0.0 120.0 0.0 0.0 0.0 
0.914 0.312 0.033 0.0 0.223 0.104 0.006 0.007 0.077 0.895 0.31 0.022 0.0 0.316 0.036 0.012 0.007 0.023 0.0 0.0 120.0 0.0 0.0 0.0 
0.936 0.082 0.219 0.0 0.259 0.038 0.002 0.002 0.02 0.922 0.035 0.279 0.0 0.268 0.02 0.001 0.001 0.003 0.0 0.0 120.0 0.0 0.0 0.0 
0.934 0.062 0.234 0.0 0.26 0.031 0.001 0.002 0.015 0.921 0.029 0.278 0.0 0.27 0.019 0.001 0.001 0.002 0.0 0.0 120.0 0.0 0.0 0.0 
0.936 0.045 0.247 0.0 0.241 0.049 0.001 0.001 0.011 0.921 0.025 0.277 0.0 0.267 0.056 0.001 0.001 0.002 0.0 0.0 120.0 0.0 0.0 0.0 
0.933 0.031 0.257 0.0 0.247 0.039 0.001 0.001 0.008 0.921 0.021 0.276 0.0 0.269 0.049 0.001 0.001 0.002 1.0 1.0 0.5 0.5 0.5 0.5 
0.931 0.011 0.271 0.0 0.239 0.042 0.0 0.001 0.006 0.922 0.006 0.274 0.0 0.27 0.047 0.0 0.0 0.001 0.0 1.0 10.5 0.5 220.5 0.5 
0.931 0.008 0.274 0.0 0.24 0.041 0.0 0.001 0.004 0.922 0.005 0.274 0.0 0.271 0.046 0.0 0.0 0.001 0.0 1.0 20.5 0.5 840.5 0.5 
0.93 0.006 0.275 0.0 0.241 0.039 0.0 0.0 0.003 0.922 0.004 0.274 0.0 0.271 0.043 0.0 0.0 0.001 0.0 1.0 30.5 0.5 1860.5 0.5 
0.93 0.006 0.276 0.0 0.241 0.04 0.0 0.0 0.003 0.922 0.004 0.275 0.0 0.271 0.044 0.0 0.0 0.001 0.0 1.0 40.5 0.5 3280.5 0.5 
0.927 0.006 0.275 0.0 0.254 0.026 0.0 0.0 0.003 0.922 0.004 0.275 0.0 0.272 0.024 0.0 0.0 0.001 0.0 2.0 3.667 0.667 40.333 0.333 
0.927 0.008 0.273 0.0 0.256 0.024 0.0 0.0 0.003 0.922 0.007 0.275 0.0 0.272 0.023 0.0 0.0 0.001 0.0 1.0 15.5 0.5 480.5 0.5 
0.925 0.008 0.273 0.0 0.262 0.018 0.0 0.0 0.003 0.921 0.007 0.276 0.0 0.273 0.018 0.0 0.0 0.001 0.0 3.0 2.0 0.75 16.0 0.25 
0.925 0.01 0.271 0.0 0.265 0.015 0.0 0.0 0.003 0.921 0.007 0.276 0.0 0.273 0.013 0.0 0.0 0.001 0.0 3.0 7.0 0.75 196.0 0.25 
0.925 0.015 0.267 0.0 0.271 0.009 0.0 0.001 0.005 0.921 0.008 0.275 0.0 0.276 0.005 0.001 0.0 0.001 0.0 3.0 12.0 0.75 576.0 0.25 
0.942 0.207 0.116 0.0 0.119 0.204 0.0 0.0 0.003 0.89 0.281 0.157 0.0 0.157 0.281 0.0 0.0 0.001 0.0 3.0 17.0 0.75 1156.0 0.25 
0.939 0.222 0.104 0.0 0.109 0.215 0.0 0.0 0.003 0.891 0.284 0.149 0.0 0.15 0.285 0.0 0.0 0.001 0.0 2.0 29.333 0.667 2581.333 0.333 
0.932 0.247 0.082 0.0 0.088 0.239 0.0 0.0 0.003 0.89 0.295 0.13 0.0 0.13 0.296 0.0 0.0 0.001 0.0 2.0 36.0 0.667 3888.0 0.333 
